,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
University of New Orleans,11931,12651,3721,3662,3735,5774,5729,3873,4189,9268,12861
Nicholls State University,11369,12249,11829,12930,13192,13340,13556,13535,13356,13563,12569
University of Louisiana at Monroe,13592,13542,15018,14418,14916,15360,14590,15456,15529,14321,15597
Northwestern State University,13366,12398,12936,12630,13277,12016,13352,13462,13647,13570,13367
Southeastern Louisiana University,14295,13847,12467,12301,12887,14234,14159,14215,14489,14531,14396
University of Louisiana at Lafayette,14872,14730,14880,14999,15489,15543,15492,14453,14286,15553,15685
Tulane University,12610,13478,6011,7261,7100,9295,11545,11508,11506,12629,13792
"University of Maine, Orono",15362,16696,16469,16652,16733,16638,15529,16836,16651,16738,16452
Coppin State University,12854,13307,13347,10917,12392,12150,9750,9692,11808,13372,13803
Johns Hopkins University,1969,2000,1975,2000,1969,1978,1964,2000,1984,2000,1982
Loyola University Maryland,14619,14641,13432,13555,14437,14597,14782,15820,14584,15777,14649
"University of Maryland, Baltimore County",18622,18216,18337,18141,18463,18298,18137,18415,18485,18444,18429
"University of Maryland, College Park",19553,19416,19191,19556,19461,19421,19504,19351,19350,19454,19720
University of Maryland Eastern Shore,11919,13007,11005,12006,11105,11400,10982,10900,12144,11695,12542
Morgan State University,13425,13082,13261,13126,13472,13321,13465,12356,13198,13076,13281
Mount St. Mary's University,13463,14327,14384,15537,15581,15742,15761,15872,15767,15513,15640
Towson University,17544,17504,17308,18579,18692,18479,18486,18114,18593,18706,18799
U.S. Naval Academy,22480,22541,22390,22480,23604,23585,24632,24366,24689,24702,25855
American International College,1000,1000,982,1000,967,982,984,1000,987,986,1000
Bentley University,1000,985,984,972,1000,1000,986,988,1000,1000,1000
Boston College,25444,25561,25616,26531,25665,26790,26688,26672,26782,25662,26892
Boston University,18368,18136,19511,19479,19528,19590,18549,19731,19466,20714,21828
Harvard University,31492,32741,33873,32528,32801,32652,33922,33623,33548,33587,33725
College of the Holy Cross,21385,20383,22440,21348,21513,20299,21516,20327,24655,22590,21534
University of Massachusetts Lowell,-506,-514,-561,-525,-485,-494,-518,-508,-506,-506,15690
"University of Massachusetts, Amherst",19058,20197,20421,20089,20538,20481,20657,20382,20610,20384,20533
Massachusetts Institute of Technology,-99,-99,-99,1000,1000,1000,1000,1000,1000,1000,1000
Merrimack College,978,956,940,938,939,989,1000,1000,1000,1000,1000
Northeastern University,16367,16373,15311,15579,15728,13540,13559,15709,16717,14597,16795
Central Michigan University,15482,15238,15612,15216,15514,15497,15502,15289,15254,15690,15586
University of Detroit Mercy,11967,12125,14109,13120,12973,17496,17426,17499,16549,18787,18629
Eastern Michigan University,20045,19870,20222,19246,20428,20050,20435,20340,20689,20473,20365
Ferris State University,976,967,967,957,989,1000,977,989,1000,1000,979
Lake Superior State University,953,969,913,913,979,989,977,1000,979,990,980
University of Michigan,26176,26192,26268,26303,26611,26299,26336,26402,26500,27551,28891
Michigan State University,24370,24205,24555,24274,24490,24530,24451,24208,24450,24549,24649
Michigan Technological University,969,925,960,990,958,1000,1000,969,971,980,952
Northern Michigan University,969,1000,969,979,956,989,942,979,978,950,973
Oakland University,12998,13070,15060,15181,17348,17360,17417,17346,17411,17715,17744
Western Michigan University,15511,15463,15731,15683,15473,15527,15710,15751,15641,15588,15628
Bemidji State University,1990,1959,1909,1907,1978,1978,1913,1991,2000,1934,1947
"University of Minnesota, Twin Cities",24488,24061,24155,24401,24549,24521,24459,24625,24869,24917,24858
University of Minnesota Duluth,1964,1801,1897,1920,1884,1946,1956,1920,1920,1974,1986
"Minnesota State University, Mankato",1946,1883,1849,1945,1920,1926,1917,1969,1990,2000,1958
St. Cloud State University,1853,1928,1924,1948,1949,1947,1977,1958,1944,1924,1967
Alcorn State University,16094,15570,14139,13769,12704,12872,14083,12945,14058,13640,15142
Jackson State University,12423,12817,15301,16233,16221,16893,16936,16929,17545,17635,17461
University of Mississippi,15991,16002,17144,17346,17669,16644,17687,17618,17521,17616,17522
Mississippi Valley State University,14202,13100,14499,12346,13420,12498,12791,13744,13433,14678,14272
Mississippi State University,15240,15340,15161,15474,15748,15494,15691,15332,15655,15619,15300
The University of Southern Mississippi,15509,15344,15133,15102,15400,15405,15445,15494,15803,15422,15747
"University of Missouri, Columbia",19297,19531,19505,19605,19521,19841,19720,19586,19858,19823,19709
University of Missouri-Kansas City,13937,14252,14400,14414,14373,14118,15486,15599,15752,15559,15783
Saint Louis University,13091,13245,15350,17764,17363,17767,17694,17738,17863,17721,17624
Southeast Missouri State University,14253,14191,14183,14484,14410,14329,14619,14496,14679,14366,14688
Missouri State University,15501,15168,15443,15147,15436,15621,15286,15502,15540,15626,15759
Montana State University-Bozeman,14144,14218,14148,14394,14755,14660,14655,14781,14644,14753,14549
University of Montana,13243,13139,13436,13407,13500,13573,13440,13590,13462,13647,13715
Creighton University,13780,13800,13656,13695,12769,13691,13846,13807,13876,13883,13942
University of Nebraska Omaha,-514,-556,-558,-542,-574,-515,-561,-505,15208,15752,15813
"University of Nebraska, Lincoln",19651,21190,21788,21119,22306,22622,22541,22555,22424,22671,22722
"University of Nevada, Las Vegas",15831,16247,16083,15943,16625,16477,16717,16328,16473,16515,16584
"University of Nevada, Reno",15350,15063,15374,15527,15442,15393,15397,15657,15616,15621,15761
Dartmouth College,27765,27934,27897,27844,27888,27953,27870,27968,28000,27980,27952
University of New Hampshire,19654,19487,19513,19466,19600,19540,19766,18740,19645,19734,19849
"Fairleigh Dickinson University, Metropolitan Campus",15203,15983,15843,17895,17479,17454,18301,18335,18355,18425,18502
Monmouth University,17061,16966,18111,17299,18383,18424,18336,18347,19408,18511,20498
New Jersey Institute of Technology,-1782,-1782,-751,14448,14853,15287,14665,17488,17306,17543,17521
Princeton University,28483,28580,31812,31607,31711,31653,31803,31660,31609,31733,31626
Rider University,18389,19308,19358,18069,18616,19645,19638,19605,18353,18484,19719
"Rutgers, The State University of New Jersey, New Brunswick",22103,22077,22192,23609,23385,22377,22303,23517,23615,23778,23666
Saint Peter's University,15020,16002,18198,16474,18773,18480,18649,18836,18822,18572,17462
Seton Hall University,12432,12326,12525,12686,12463,12709,12640,13801,12734,13917,13865
University of New Mexico,19934,19798,19747,20157,19983,20322,20588,20612,20481,20723,20526
New Mexico State University,12643,12912,14106,13984,14161,14453,15421,15449,15533,15416,15519
Canisius College,12353,11359,14420,14418,14496,14675,14568,14657,14740,15847,15840
Clarkson University,1877,873,1943,1945,1973,1974,1988,1974,1952,1976,2000
Colgate University,18315,16981,23795,23857,22730,22773,23809,23952,23894,22802,23872
Columbia University-Barnard College,25732,25776,25735,25706,25803,25858,25643,25897,25772,25821,25872
Cornell University,26581,26533,26613,25383,26488,27693,27801,27732,26564,26544,26513
Fordham University,18471,18478,19522,18490,19750,19765,19545,19700,19639,19741,19862
Hartwick College,1934,1861,1905,1871,1950,1925,1922,1925,1986,2000,1949
Hobart and William Smith Colleges,1000,966,941,953,940,983,994,994,986,963,946
Hofstra University,16389,16396,16689,16337,16605,15426,15503,16594,16371,15476,16575
Iona College,15879,17267,18355,18227,19475,19664,19672,19355,19769,19647,19795
Long Island University-Brooklyn Campus,14298,14325,14535,14522,14348,14590,15629,15530,15692,15707,15741
Manhattan College,17149,17274,17242,16129,17574,17463,17238,18405,18606,18682,18702
Marist College,21707,21479,21585,21695,21475,21522,21747,21521,21579,21722,21816
Niagara University,15251,14307,15472,15193,15435,14257,16630,15558,15646,16607,17597
New York Institute of Technology,909,942,967,969,1000,959,990,930,946,936,930
