,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
Saint Joseph's University,17597,18651,18615,18681,18832,18644,18526,18721,18872,18761,18819
Temple University,15218,14824,14930,16811,15463,15227,17682,17519,17700,17813,17783
Villanova University,22734,19078,18315,21343,19485,20407,21339,20460,21594,20608,19490
Brown University,32839,32884,32733,32762,32768,32741,32902,32795,32865,32894,32878
Bryant University,-2178,-2178,-2178,-2178,-2178,20608,19459,18557,21718,18440,18454
Providence College,16232,17341,15059,16468,15281,15191,15374,15379,18679,16555,17705
University of Rhode Island,16196,15315,16298,16324,16525,16597,16446,16436,16326,16494,16527
Charleston Southern University,13898,15100,14841,14120,15289,13911,15601,15038,14958,14514,15448
College of Charleston (South Carolina),16569,16491,16166,16193,16566,16539,16724,16725,16657,16652,16631
The Citadel,14205,14629,14584,13188,13594,14734,14179,14258,14625,14395,14685
Clemson University,17190,17124,17141,17556,17470,17482,17426,17368,17416,17491,18895
Francis Marion University,-198,-198,1862,1890,2000,2000,1898,1745,1892,2000,1931
Furman University,16588,16406,16542,16549,17486,17276,17502,17693,17634,17695,18832
Presbyterian College,-1485,-1485,-1485,-1485,13410,14715,13479,13463,13621,14592,14728
"University of South Carolina, Columbia",18017,18132,18157,18271,17310,18650,18683,18431,17605,18744,18655
Coastal Carolina University,15964,16243,16070,16350,16498,16427,16303,16397,16366,17498,17770
South Carolina State University,10916,13525,14480,14477,14423,13143,14196,14594,14262,14275,14306
University of South Carolina Upstate,-1683,-1683,-1683,-1683,15764,15778,15918,16387,16504,16551,15983
Winthrop University,15951,16225,16114,16071,16461,16470,16521,16447,16597,17488,17631
Wofford College,16274,13373,16731,16666,16706,16765,16768,16721,16828,16699,15707
South Dakota State University,-1980,-1980,17081,18224,16989,18382,18478,19550,19371,19585,19561
University of South Dakota,-1683,-1683,-1683,-1683,-1683,16526,16478,15559,15526,15622,15526
Austin Peay State University,13945,14222,14140,13980,14636,14712,14422,14629,14461,14619,14773
Belmont University,16369,16730,16704,16471,16792,16871,16816,16936,16827,16822,16806
Lipscomb University,14171,14264,16442,16319,16659,16637,16658,16621,16491,16707,16737
East Tennessee State University,15541,15003,15032,14994,15665,15447,16407,15761,16277,15389,16775
University of Memphis,17047,17009,16885,17204,18689,18397,18145,18606,18791,18666,18707
Middle Tennessee State University,15708,15828,15108,16586,16441,16769,16749,16706,16634,16394,16491
University of Tennessee at Chattanooga,14948,14977,14865,14796,16154,16128,16431,16759,16672,16870,16711
"University of Tennessee, Knoxville",19045,19061,19130,19236,19304,19453,19415,19470,19568,19597,19800
University of Tennessee at Martin,11687,11289,11283,11605,11379,11506,11256,11588,11749,11547,11720
Tennessee State University,12979,11991,13913,14198,12765,14189,13826,14434,13133,13220,14028
Tennessee Technological University,13375,13612,13607,13408,13707,13433,13759,13595,13793,13738,13766
Vanderbilt University,11298,13329,13527,13583,13674,14865,14732,14756,14807,14789,14742
Abilene Christian University,-1584,-1584,-1584,-1584,-1584,-1584,-1584,-1584,-1584,-1584,15142
Baylor University,16182,16357,16159,16463,16607,16483,16732,16668,16807,16570,16683
Texas A&M University-Corpus Christi,13308,12713,13120,13052,13355,13304,13351,12947,13209,13360,14507
Dallas Baptist University,-99,-99,952,948,970,969,962,981,980,962,967
Houston Baptist University,-1485,-1485,-1485,-1485,-1485,-1485,14020,14298,14480,14522,14736
University of Houston,14932,14921,14689,14762,14091,15168,15219,15305,15423,15463,16644
University of the Incarnate Word,-1980,-1980,-1980,-1980,-1980,-1980,-1980,-1980,-1980,-1980,17895
Lamar University,13061,12943,12676,12825,14085,14207,14016,15320,15473,16202,16461
University of North Texas,15698,15177,15032,15492,15646,15515,15533,15361,15031,15684,15768
"University of Texas, Pan American",13533,12069,12871,12806,13278,13376,13194,13242,13444,13242,13679
Prairie View A&M University,16390,15279,16905,16894,14979,15801,16663,16572,17165,14812,16785
Rice University,15735,15779,15914,15586,15702,15803,15846,15638,15894,15944,15918
Sam Houston State University,15004,15110,15105,15135,15263,15327,15396,16385,16455,16468,16583
Southern Methodist University,15719,15613,15372,15407,15569,15471,15224,15423,15694,15550,15517
Stephen F. Austin State University,13134,13101,14229,13977,14311,14199,16481,16311,16336,16312,16698
